,title,time,content,classification
0,清明节期间 这些公交线路将采取临时甩站措施,04/01 2021,根据交管部门的交通管制要求，清明节期间，途经北京植物园站的318路、360路、360快、505路、563路、698路、932路等7条线路将在清明节期间采取双向甩站措施。此外，途经八宝山西行站位的1路、76路、337路、373路、941路5条线路首车至当日祭扫活动结束采取甩站措施；途经鲁谷东街南行方向辅路的574路、951路、961路、专111路的4条线路，每日早7时至管制结束，采取主路停车临时上下客措施。请沿线乘客合理安排清明假期出行计划。, 节假日
1,清明小长假公交多项措施便利市民出行,04/01 2021,清明小长假期间，公交集团计划日均配车1.52万部，日均发车13.04万次，重点增加途经各大陵园墓地、公园景点和郊区旅游景区周边公交线路运力，并先后开通10条清明扫墓专线，西郊线也将启动重联运营模式增强运客能力，便利市民踏青祭扫出行。今年清明假期为4月3日至4月5日。根据客流预测情况，预计4月3日至5日地面公交的客运总量为1650万人次，日均客运量将达到550万人次。针对清明节市民祭扫高峰与春游踏青重合的出行特点，清明小长假期间公交集团计划日均配车1.52万部，日均发车13.04万次，将重点增加途经各大陵园墓地，天安门、前门、北海、故宫、颐和园、植物园、八达岭等公园景点，以及火车站周边公交线路运力。其中，途经全市18个陵园墓地的103条重点线路将增配机动车，根据客流变化情况及时增加运力配备。西郊线将在清明假期采取重联车运行模式，每日上线8组重联列车，发车间隔为6.5分钟，单日总运力可以达到17万人次。朝阳站将继续使用大容量的通道车，采取一站直达的措施。北京南站将继续开通北广场至三元桥、公主坟、武夷花园、天通北苑、回龙观、来广营的6条高铁专线。对于节日期间交通热点地区可能出现的交通拥堵，公交集团将采取灵活的调度方式，充分利用区间车、大站快车加速车辆周转，确保各线路的运营秩序。 同时，为方便广大市民到各墓地陵园进行扫墓祭奠活动，3月20日至4月11日，公交集团已陆续开通由市区直达太子峪陵园、通惠陵园、温泉墓园、八达岭人民公墓和天慈公墓等5大陵园墓地的10条清明节扫墓专线，扫墓专线采取定点发车、人满即发的模式，乘客需要现场购买往返车票，持市政公交一卡通或手机支付无折扣，各类免票证件乘车无效。 公交集团提示广大乘客在乘坐公共交通时自觉规范佩戴口罩，做好个人健康防护，并可拨打96166客服热线或登陆北京公交集团官方网站、微博查询清明假期的线路动态。, 节假日
2,4月6日增站通告,03/30 2021,为方便乘客出行，结合乘客意见建议，自2021年4月6日首车起，以下线路增设、调整中途站位，具体如下：1．323路：开往知春里方向增设“航天桥南”站，开往富丰桥西方向增设“航天桥北”站。2．349路：双向增设“榆树庄”站。3．353路：双向增设“造甲村东”站，开往万源路方向“造甲村”站西移至69路站位。4．511路：双向增设“南顶路口”站。5．685路：双向增设“天宝中路南口”站。6．687路：双向增设“地铁海户屯站”站。, 优化调整
3,北京公交集团将于3月27日至4月5日开通 通惠陵园的扫墓专线,03/26 2021,"为满足市民前往通惠陵园祭扫的出行需求，北京公交集团在相关部门的支持下，将于3月27日至4月5日在东大桥公交总站、崇文门公交总站、光明楼华普商场开通至通惠陵园的扫墓专线，现场出售往返票，票价30元/人，乘客可通过微信、现金支付的方式购票，各类免票证件乘车无效。出行提示：请广大市民根据市民政部门的要求，提前做好祭扫预约，并根据扫墓专线发车时间，合理安排好出行计划，按照疫情防控要求佩戴口罩乘车。扫墓专线相关信息，敬请广大市民关注北京公交集团官方网站、微博。


公交集团2021年清明节通惠陵园扫墓临时专线


序号
始发站
到达站
营业日期
发车时间
往返票价


1
东大桥公交总站
通惠陵园
3月27日至4月5日
7:00-8:30
30元/人


2
崇文门公交总站
3月27日至4月5日
7:00-8:30


3
光明楼华普商场
3月27日至4月5日
7:00-8:30


", 节假日
4,2021年4月1日首车起 部分线路增站延时,03/26 2021,为方便乘客出行，结合乘客意见建议，同时按照怀柔区、顺义区政府部门要求，自2021年4月1日首车起，部分线路增站延时：一．942快、991路增设中途站位1．942快：双向增设“联庄桥”“高丽营一村南”站。2．991路：开往亮马厂西口方向增设“青年路口东”站。二．延长970快营业时间地铁望京西站末车时间由20:00延长至20:30。三．按照怀柔区政府部门要求，调整部分怀柔区域公交线路1．调整H2路、H14路、H21路、H22路、H27路、H37路、H38路、H51路、H54路9条线路（1）为方便桥梓兵营及周边乘客出行，9条线路西台上－桥梓开发区中途路由改行北台路，双向增设“西台上西”站。（2）H27路双向引入茶坞火车站，双向增设“茶坞火车站”站，与942快并站。（3）H51路由延庆南菜园公交场站缩短至四海，取消天门关－延庆南菜园公交场站沿线路由、站位，前往延庆城区的乘客可在四海换乘Y14路、Y28路等延庆区域公交线路。调整后由现状单向1车次增加至单向2车次，调整后营业时间为：于家园6:15、15:15；四海8:45、17:30。2．H52路双向增设“梨园庄”“密云王各庄小区”站。3．调整H53路营业时间，调整后营业时间为：于家园6:00、7:20、9:10、14:00、15:20、16:00；富河园小区7:40、9:20、11:00、15:50、17:20、18:00。四．按照顺义区政府部门要求，调整部分站名1．916路、H53路“牛栏山北”站更名为“北军营”。2．942快“顺义良善庄”站更名为“西范各庄东”。3．856路、942快、H54路“下西市”站更名为“下西市南”。, 政府部门调整要求
5,公交集团将开通7条清明扫墓专线 6条专线本周六同步开行,03/24 2021,2021年清明节期间公交集团将开通7条由市区直达4大陵园墓地的清明临时扫墓专线，其中6条专线车将于3月27日（本周六）集中开通运营。为方便广大市民到各墓地陵园进行扫墓祭奠活动，3月20日至4月11日，公交集团将陆续开通由市区直达温泉墓园、太子峪陵园、八达岭人民公墓和和天慈公墓等4大陵园墓地的7条清明节扫墓专线。其中，长椿街开往太子峪陵园的扫墓专线已于3月20日起开通；安定门开往温泉墓园，老山开往太子峪陵园，老山、德胜门、宣武门开往八达岭人民公墓，陶然桥开往天慈公墓的6条线路将于3月27日起开通运营。前往上述墓地陵园进行扫墓祭奠活动的市民可就近选择乘车地点。扫墓专线为清明节期间临时专线车，需现场购买往返车票，持IC卡或刷码支付无折扣，各类免票证件乘车无效。即日起，市民可拨打96166公交客服热线或登陆北京公交集团官方网站、微博、微信查询扫墓专线乘车信息。此外，在3月27日、28日、4月3至5日的清明祭扫服务高峰日期间，交管部门将在八宝山公墓周边采取交通管制措施。为方便市民前往八宝山人民公墓地区进行祭扫活动，1路将在3月27日、28日及清明节假日期间的7时至11时30分增加地铁八宝山北行临时站。同时，途经八宝山西行站位的1路、76路、337路、373路及941路5条线路首车至当日祭扫活动结束采取甩站措施；途经鲁谷东街南行方向辅路（八宝山路口西南角）的574路、951路、961路及专111路的4条线路，每日早7时至管制结束，采取主路停车临时上下客措施，请沿线乘客合理安排祭扫出行计划。附：7条扫墓专线详情（目的地分类） （一）温泉墓园：     1.安定门立交桥西北角-温泉公墓，营业日期：3月27日、28日、4月3日至5日，发车时间7:00-8:00，往返票价：25元/人。 （二）太子峪陵园     2.长椿街（路口西北角）-太子峪陵园，营业日期：3月20日、21日，3月29日至4月2日，发车时间7:00；3月27日、28日，4月3日至5日，发车时间6:30-8:00；往返票价：25元/人。 3.老山（丁字路口西南角）-太子峪陵园，营业日期：3月27日、28日，4月3日至5日，发车时间6:30-9:00；3月29日至4月2日、4月10日、11日，发车时间8:00；往返票价：25元/人。 （三）八达岭人民公墓： 4.老山（路口西）-八达岭人民公墓，营业日期：3月27日、28日，4月3日至5日，发车时间6:30-8:30；往返票价：40元/人。 5.德胜门箭楼-八达岭人民公墓，营业日期：3月27日、28日，4月3日至5日，发车时间6:30-8:30；往返票价：40元/人。 6.宣武门教堂东侧-八达岭人民公墓，营业日期：3月27日、28日，4月3日至5日，发车时间6:30-8:30；往返票价：40元/人。 （四）天慈公墓     7.陶然桥西500米-天慈公墓，营业日期：3月27日、28日，4月3日至5日，发车时间7:30-8:30；往返票价：25元/人。, 节假日
6,965路、977快增站通告,03/24 2021,为方便乘客出行，结合乘客意见建议，自2021年3月31日首车起，965路、977快双向增设“丽景长安小区北”站。, 优化调整
7,898路等2条跨京冀线恢复全线运营,03/24 2021,根据河北省张家口市涿鹿县、下花园区的意见，前期受疫情影响停驶的898路（涿鹿-地铁朱辛庄站）、899路（下花园-地铁朱辛庄站）2条线路，将于3月26日（星期五）首车起恢复全线运营。请广大乘客自觉遵守防疫要求，做好疫情防控工作。, 政府部门调整要求
8,截至3月22日19时 北京公交集团共计8条线路采取临时措施,03/22 2021,"2021年3月19日，北京以及周边地区出现雨雪天气，截止至3月22日19时，受雪后低温道路结冰影响，北京公交集团共计8条线路采取临时措施，其中：山区线路8条，分别为采取停驶措施7条，采取区间措施1条。具体线路及措施如下：     一、影响山区线路8条。（停驶7条；区间1条；）（一）采取停驶措施7条
F58路（红煤厂公交场站-瞧煤涧村北），受红煤厂公交场站至瞧煤涧村北路段雪后低温道路结冰影响，采取停驶措施，双向停驶；
F59路（红煤厂公交场站-杨林水村），受红煤厂公交场站至杨林水村路段雪后低温道路结冰影响，采取停驶措施，双向停驶；
F62路（红煤厂公交场站-房山石板房村），受红煤厂公交场站至房山石板房村路段雪后低温道路结冰影响，采取停驶措施，双向停驶；
F64路（红煤厂公交场站-房山西苑村），受红煤厂公交场站至房山西苑村路段雪后低温道路结冰影响，采取停驶措施，双向停驶；
F65路（红煤厂公交场站-北直河西站），受红煤厂公交场站至北直河西站路段雪后低温道路结冰影响，采取停驶措施，双向停驶；
F66路（红煤厂公交场站-大草岭四队），受红煤厂公交场站至大草岭四队路段雪后低温道路结冰影响，采取停驶措施，双向停驶；
F19路（龙之乡公交场站-鱼斗泉），受鱼斗泉至龙之乡公交场站路段雪后低温道路结冰影响，采取停驶措施，双向停驶；
 （二）采取区间措施1条M23路（斋堂公交场站-江水河村），受江水河路段雪后低温道路结冰影响，采取区间措施，发斋堂公交场站至洪水口区间。", 天气影响
9,3月26日调整线路、增设站位通告,03/22 2021,为方便乘客出行，结合乘客意见建议，自2021年3月26日首车起，以下线路调整延长或增设站位，具体如下：1．813路：末站由“天赐良园二期”延长一站至“邓家窑桥北”，同时延长营业时间。调整后营业时间为：燕郊上上城五期5:00-20:40；邓家窑桥北6:20-22:00。2．895路：增设“莲花池”下车站，位于路口西侧北辅路，与上车站同站台。3．967路：开往狼垡东桥北方向增设“丰台体育中心”站。4．F61路：双向增设“炒米店路口”站，营业时间调整为：红煤厂公交场站5:10、16:00；太平庄明慧嘉园7:15、18:30。, 优化调整
