,title,time,content
0,4月6日增站通告,03/30 2021,为方便乘客出行，结合乘客意见建议，自2021年4月6日首车起，以下线路增设、调整中途站位，具体如下：1．323路：开往知春里方向增设“航天桥南”站，开往富丰桥西方向增设“航天桥北”站。2．349路：双向增设“榆树庄”站。3．353路：双向增设“造甲村东”站，开往万源路方向“造甲村”站西移至69路站位。4．511路：双向增设“南顶路口”站。5．685路：双向增设“天宝中路南口”站。6．687路：双向增设“地铁海户屯站”站。
1,2021年4月1日首车起 部分线路增站延时,03/26 2021,为方便乘客出行，结合乘客意见建议，同时按照怀柔区、顺义区政府部门要求，自2021年4月1日首车起，部分线路增站延时：一．942快、991路增设中途站位1．942快：双向增设“联庄桥”“高丽营一村南”站。2．991路：开往亮马厂西口方向增设“青年路口东”站。二．延长970快营业时间地铁望京西站末车时间由20:00延长至20:30。三．按照怀柔区政府部门要求，调整部分怀柔区域公交线路1．调整H2路、H14路、H21路、H22路、H27路、H37路、H38路、H51路、H54路9条线路（1）为方便桥梓兵营及周边乘客出行，9条线路西台上－桥梓开发区中途路由改行北台路，双向增设“西台上西”站。（2）H27路双向引入茶坞火车站，双向增设“茶坞火车站”站，与942快并站。（3）H51路由延庆南菜园公交场站缩短至四海，取消天门关－延庆南菜园公交场站沿线路由、站位，前往延庆城区的乘客可在四海换乘Y14路、Y28路等延庆区域公交线路。调整后由现状单向1车次增加至单向2车次，调整后营业时间为：于家园6:15、15:15；四海8:45、17:30。2．H52路双向增设“梨园庄”“密云王各庄小区”站。3．调整H53路营业时间，调整后营业时间为：于家园6:00、7:20、9:10、14:00、15:20、16:00；富河园小区7:40、9:20、11:00、15:50、17:20、18:00。四．按照顺义区政府部门要求，调整部分站名1．916路、H53路“牛栏山北”站更名为“北军营”。2．942快“顺义良善庄”站更名为“西范各庄东”。3．856路、942快、H54路“下西市”站更名为“下西市南”。
2,965路、977快增站通告,03/24 2021,为方便乘客出行，结合乘客意见建议，自2021年3月31日首车起，965路、977快双向增设“丽景长安小区北”站。
3,3月26日调整线路、增设站位通告,03/22 2021,为方便乘客出行，结合乘客意见建议，自2021年3月26日首车起，以下线路调整延长或增设站位，具体如下：1．813路：末站由“天赐良园二期”延长一站至“邓家窑桥北”，同时延长营业时间。调整后营业时间为：燕郊上上城五期5:00-20:40；邓家窑桥北6:20-22:00。2．895路：增设“莲花池”下车站，位于路口西侧北辅路，与上车站同站台。3．967路：开往狼垡东桥北方向增设“丰台体育中心”站。4．F61路：双向增设“炒米店路口”站，营业时间调整为：红煤厂公交场站5:10、16:00；太平庄明慧嘉园7:15、18:30。
4,3月20日首车起 以下线路增设中途站位、调整营业时间,03/12 2021,"
为方便乘客出行，自2021年3月20日首车起,以下线路增设中途站位、调整营业时间：








1.829路：双向增设“槐新公园”站。



2.969路：双向增设“康庄路西口”站。
3.F29路：燕山二一八公交场站首车时间由6:15提前至6:00，郑庄末车时间由18:10延长至18:40。



"
5,3月15日首车起 以下线路调整中途站位、营业时间,03/08 2021,为方便乘客出行，自2021年3月15日首车起，以下线路调整中途站位、营业时间：1．869路：“地铁善各庄站”调整至创远路，方便乘客就近换乘地铁14号线。其中下车站邻近地铁善各庄站A口，上车站邻近地铁善各庄站B口。2．915路：开往东直门外方向增设“喇苏营北”站。3．916路：双向增设“东郊农场”站。4．942路：双向增设“顺义古城东大街”站。5．H59路：双向“永乐庄路口”站移至路口东侧“永乐大街西口”站，与H41路并站。原“京密北二街”站更名为“兴科南一街”，原“京密北四街”站更名为“兴科北一街”。6．H62路：10月26日至5月25日首车时间由6:30提前至6:00，末车时间由21:30延长至21:40，5月26日至10月25日营业时间不变。7．H66路：原“京密北四街”站更名为“兴科北一街”，原“京密北二街”站更名为“北房西桥北”。
6,3月6日增站通告,02/26 2021,为方便乘客出行，结合乘客意见建议，自2021年3月6日首车起，部分线路增设中途站位，具体如下：1．807路：双向增设“西小马庄园”站；开往大北窑南方向增设“八里桥”站。土桥公交场站首车时间由5:25提前至5:20。2．924路：双向增设“西小马庄园”“窑坡”站。3．986路：开往方庄桥东方向增设“十里河桥南”站。4．X105路：双向增设“金地仰山西区”站。
7,3月5日首车起 部分线路调整站位及营业时间,02/26 2021,为方便乘客出行，结合乘客意见建议，自2021年3月5日首车起，部分线路调整中途路由、站位、营业时间，具体如下：1．51路：开往双龙小区方向增设“潘家园路西口”站；开往嘉园三里方向增设“洋桥南”站。2．72路：双向增设“天桥路口东”站。3．77路：开往晓月苑小区方向增设“花园桥东”“正阳桥北”站。4．309路：开往北京西站南广场方向“太子峪北”站更名为“太子峪村”；开往太子峪陵园方向增设“太子峪村”站。5．323路：开往富丰桥西方向“知春里东站”站西移约150米。6．349路：开往北京西站南广场方向中途改行西安街、东安街头条、东安街，增设“东安街头条”站；开往丰台西站方向增设“正阳桥北”站。7．381路：开往西红门公交场站方向增设“九龙家园”站。8．395路：富丰桥西末车时间由21:00延长至21:30。9．676路：开往长椿街路口西方向增设“天宁寺桥东”“西便门”站。10．专190路：平日早、晚高峰首车时间均提前40分钟，节假日营业时间不变。调整后营业时间为：地铁新宫站平日5:50-9:10、15:50-19:10，节假日7:30-10:10、15:30-18:10；地铁丰台科技园站平日6:30-9:55、16:30-19:50，节假日8:10-10:50、16:10-18:50。11．夜7路：开往平乐园北方向“四合庄”站调整至路口北侧，与69路并站。
8,2月26日首车起 部分线路增设中途站位,02/20 2021,为方便乘客出行，结合乘客意见建议，自2021年2月26日首车起，部分线路增设中途站位，具体如下：1．40路：双向增设“北京世纪坛医院”站。2．335路：开往地铁海淀五路居站方向增设“公主坟西”（西行）站。3．360快：开往香泉环岛方向增设“四海桥北”站。4．398路：双向增设“成府路口西”站。5．509路：开往地铁西二旗站方向增设“中央党校东站”站。6．575路：双向增设“永丰路南口”站。7．584路：双向增设“四通桥东”站。8．664路：双向增设“海淀公园”站。9．专148路：开往田顺庄方向增设“金顶南路”站。
9,2月6日至2月20日  23条线路路号调整工作将分期分批实施,02/05 2021,根据《关于稳步实施公交站名规范工作的通告》，按照《北京市地面公交线网总体规划》中关于“完善地面公交路号编制规则”的要求，配合站名规范实施工作，自2月6日至2月20日，分期分批实施23条线路的路号调整工作。各线路实施日期及调整后路号如下：一．2月6日首车起1．原525路调整为17路；2．原635路调整为135路；3．原701路调整为4路；4．原751路调整为319路；5．原特13路调整为143路。二．2月8日首车起1．原674路调整为63路；2．原特8路（内、外环）调整为368路（内、外环）；3．原特11路调整为141路；4．原特12路（内、外环）调整为200路（内、外环）；5．原特16路调整为406路。三．2月9日首车起1．原684路调整为84路；2．原691路调整为69路；3．原特2路调整为142路；4．原特7路调整为137路；5．原特14路调整为144路。四．2月10日首车起1．原740路（内、外环）调整为400路（内、外环）；2．原特9路（内、外环）调整为400快（内、外环）。五．2月20日首车起1．原特15路调整为145路；2．原特19路调整为129路。
10,2月6日首车起 调整化工路沿线途经线路,01/30 2021,配合化工路改造完工，自2021年2月6日首车起，化工路沿线途经线路均调整引入化工路主路，中途各站调整至新建公交港湾。沿线站位由东至西依次命名为：化工桥西、北京焦化厂、工业技师学院、垡头南站、垡头、垡头北站、朝阳大柳树、地铁南楼梓庄站、南楼梓庄、窑洼湖桥东。具体各线路站位调整情况如下：1．41路：开往东单路口南方向增设“南楼梓庄”站。2．348路：双向增设“化工桥西”“南楼梓庄”站，取消“垡头桥南”站；开往大北窑南方向取消“窑洼湖桥东”站。3．457路、夜19路：双向增设“化工桥西”“南楼梓庄”站，取消“西直河北站”“垡头桥南”站。4．486路：双向增设“康化路北口”“南楼梓庄”站，取消“西直河北站”“垡头桥南”；开往西直河南站方向取消“北京焦化厂”站；开往辛庄方向增设“化工桥西”站。5．535路：双向增设“南楼梓庄”站。6．561路：开往大北窑南方向增设“南楼梓庄”站；开往西直河西站方向增设“地铁南楼梓庄站”，取消“工业技师学院”站。7．637路：双向增设“化工桥西”“南楼梓庄”站，取消“西直河北站”“垡头桥南”站；开往北京站东街方向增设“化工桥东”站；开往次渠方向增设“广渠门”站。8．638路：双向增设“化工桥西”“康化路北口”站，取消“北京焦化厂”站。9．657路：开往东湖方向增设“南楼梓庄”站，取消“窑洼湖桥东”站。10．临6路：双向增设“化工桥西”站。
11,2月6日首车起 调整F40等线路,01/30 2021,为方便祖村、南洛村等地区乘客出行，自2021年2月6日首车起，调整F40路。同时依托大石窝公交场站作为区域换乘中心，构建区域内分层次线网体系，优化整合房易路沿线并行线路，提升线网整体效率和末端独有路段的服务水平，调整F31路、F55路。具体方案如下：1．调整F40路调整后首末站：祖村－燕山体育馆首站由福兴延长至祖村，增设“祖村”“祖村西”“小南洛北”“南洛东”“南洛村”“南洛南”“福兴东”站；末站调整至燕山体育馆，增设“富燕新村”“宏塔小区”“燕山体育馆”站，取消“房山北关北”“富燕新村东门”“燕化二一八公交场站”站。营业时间：祖村5:40-18:30；燕山体育馆6:00-18:30。F40路调整后，将增加祖村、南洛村地面公交基础服务，加强祖村、南洛村与琉璃河、房山城关的交通联系。2．调整F31路调整后首末站：大石窝公交场站－房山三岔调整后F31路由大石窝公交场站（原大石窝客运站）发出，沿F31路原路由、设站至房山三岔，取消长兴大街北口－石窝沿线路由及设站。营业时间：大石窝公交场站6:00-19:00；房山三岔6:30-19:30。原F31路沿线前往房易路沿线、房山城关、良乡、长阳地区的乘客，可在大石窝公交场站换乘F41路。调整后F31路、F41路均增加车次，保障沿线乘客出行服务。3．调整F55路调整后首末站：大石窝公交场站－大石窝镇南河村东调整后F55路由大石窝公交场站（原大石窝客运站）发出，南行至房易路，沿F55路原路由、设站至大石窝镇南河村东。增设“大石窝公交场站”站；取消房山体育场－大石窝镇政府沿线路由及设站。营业时间：大石窝公交场站7:00、9:00、10:00、14:10、18:00；大石窝镇南河村东7:30、9:30、10:30、14:40、18:30。原F55路沿线前往房易路沿线、房山城关的乘客，可在“大石窝镇辛庄”“房山王庄道口”等站同台换乘917路。调整后F55路将增加车次，由现状单向3车次增加至5车次。
12,2月6日首车起 M29路优化调整,01/30 2021,为方便黄土贵村乘客出行，应门头沟区政府部门要求，自2021年2月6日首车起，M29路开往碣石村方向绕行黄土贵村，增设“黄土贵村”站，取消原“黄土贵村路口”双向站位。营业时间：斋堂公交场站7:20、16:00；碣石村8:20、17:00。
13,2月6日首车起 部分线路增设中途站位,01/30 2021,为方便乘客出行，结合乘客意见建议，自2021年2月6日首车起，部分线路增设中途站位，具体如下：1．4路（原701路）：双向增设“南锣鼓巷”站。2．17路（原525路）：双向增设“光彩路北站”站。3．34路：开往虎坊桥路口南方向增设“光明桥”“永安路”站。4．55路：开往西安门方向增设“马甸桥南”站（德外大街主路，与344路并站）。5．59路：开往前门方向增设“菜户营桥东”站；开往菜户营桥方向增设“太平街北口”站。6．92路：双向增设“恩济里小区北”“健德门西”站；开往北土城公交场站方向增设“白石桥南”站。7．117路：开往五路居方向增设“金台路口北”“三里屯”“地铁和平里北街站”；开往红庙路口东方向“工人体育场”站东移约150米，与113路等“三里屯”并站。8．135路（原635路）：双向增设“果子市”站；开往二里庄方向增设“金台路口南”站。9．143路（原特13路）：双向增设“德外关厢”站。10．319路（原751路）：双向增设“天通北苑三区南门”站。11．403路：开往北京站东街方向增设“东大桥路口南”站；开往环行铁道方向增设“东大桥路口北”“新源南路西口”站。12．507路：双向增设“阜永路口西”站。13．985路：双向增设“湖光中街西口”站。14．F19路：双向增设“长海御墅”“甘池路口”“黄元井村北口”“三座庵”站。15．F21路：双向增设“辛庄检查站”站。营业时间调整为：房山客运站开往秋林铺15:15，开往莲花庵7:50、10:25；秋林铺6:20，莲花庵10:40、14:15。16．F23路、F24路：双向增设“东庄子南”“河北法庭”“房山河南村口”“辛庄检查站”站。17．F77路：双向增设“堆金台”“安子江路口”站。
14,北京公交集团计划于2021年1月22日首车起调整413路 494路等5条线路,01/20 2021,"为配合京沈高铁北京朝阳站开通，根据上级政府部门关于北京朝阳站公交接驳的工作安排，方便乘客就近换乘地铁6号线、10号线、14号线等轨道交通，同时结合北京朝阳站周边新建道路计划开通情况，北京公交集团计划于2021年1月22日首车起调整413路、494路等5条线路，具体如下：调整413路调整后首末站：北京朝阳站－东直门线路路由：线路由北京朝阳站发出后经姚家园北路、星火西路至南十里居后恢复原路由至东直门。可换乘地铁14号线“东风北桥”站、地铁10号线“亮马桥”站、地铁2号线“东直门”站。增设站位：北京朝阳站、星火西路北站、新源南路西口（东直门至北京朝阳站方向）、幸福三村（北京朝阳站至东直门方向）。营业时间：北京朝阳站:5:30-23:10，东直门:5:30-23:10。413路线路调整示意图 调整494路前期因星火东路铁道路口断路，494路采取分段运营，此次配合北京朝阳站开通，将494路南北两段同时引入北京朝阳站，494南段路号变为专194路，494路北段路号变为专195路。（1）专194路调整后首末站：甘露园－北京朝阳站线路路由：线路由甘露园发出后，沿原路由至姚家园北一路后，经姚家园西里中路、姚家园北二路、星火东路至北京朝阳站。可换乘地铁6号线“青年路”站。增设站位：北京朝阳站、姚家园西里中路北、姚家园北（甘露园至北京朝阳站方向）。营业时间：甘露园:5:30-22:40，北京朝阳站：6:00-23:10。494路南段（专194路）线路调整示意图（2）专195路调整后首末站：北京朝阳站－红霞路线路路由：线路由北京朝阳站发出后，经姚家园北路、驼房营南路、驼房营路、万红路、酒仙桥路、酒仙桥南路至红霞路。可换乘地铁14号线“将台”站。途径站位：北京朝阳站、梵谷水郡小区南、梵谷水郡小区、电子城小区南、电子城小区、驼房营、小陈各庄、将台路东站、将台路口东、酒仙桥、酒仙桥南、酒仙桥中心小学（北京朝阳站至红霞路方向）、酒仙桥商场（北京朝阳站至红霞路方向）、红霞路。营业时间：北京朝阳站：5:30-23:10，红霞路:6:00-23:40。494路北段（专195路）线路调整示意图 调整911路调整后首末站：京东运乔建材城－北京朝阳站线路路由：线路由京东运乔建材城发出，沿原线路由至黄杉木店后经青年路、青年北路、姚家园北一路、星火东路至北京朝阳站。可换乘地铁6号线“青年路”站及以东沿线地铁站。增设站位：民族家园中路南口、青年路口北、姚家园村、国美第一城小区、姚家园南、姚家园北（京东运乔建材城至北京朝阳站方向）、姚家园西里、姚家园北一路、北京朝阳站。撤销站位：青年路口、十里堡北里、农民日报社、农民日报社北、石佛营西里东站。营业时间：京东运乔建材城:5:00-20:00，北京朝阳站：6:20-21:30。911路线路调整示意图 调整夜13路调整后首末站：北京朝阳站－地铁海淀五路居站线路路由：线路由北京朝阳站发出后，经姚家园北一路、青年北路、青年路至甘露园后恢复原路由至地铁海淀五路居站。增设站位：北京朝阳站、姚家园北一路、姚家园西里、姚家园北（地铁海淀五路居至北京朝阳站方向）、姚家园南、国美第一城小区、姚家园村、青年路口北、青年路口南。营业时间：北京朝阳站：23:20-4:50,地铁海淀五路居站:23:20-4:50。夜13路线路调整示意图"
