,,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89
1路,上行,老山公交场站,老山南路东口站,地铁八宝山站,玉泉路口西站,永定路口东站,五棵松桥西站,沙沟路口西站,东翠路口站,万寿路口西站,翠微路口站,公主坟站,军事博物馆站,木樨地西站,工会大楼站,南礼士路站,复兴门内站,西单路口东站,天安门西站,天安门东站,东单路口西站,北京站口东站,日坛路站,永安里路口西站,大北窑西站,大北窑东站,郎家园站,四惠枢纽站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
1路,下行,四惠枢纽站,八王坟西站,郎家园站,大北窑东站,大北窑西站,永安里路口西站,日坛路站,北京站口东站,东单路口西站,天安门东站,天安门西站,西单路口东站,复兴门内站,南礼士路站,工会大楼站,木樨地西站,军事博物馆站,公主坟站,翠微路口站,万寿路口西站,东翠路口站,沙沟路口西站,五棵松桥东站,永定路口东站,玉泉路口西站,地铁八宝山站,老山南路东口站,老山公交场站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10路,上行,南菜园站,白纸坊路口西站,南樱桃园路口北站,牛街南口站,牛街礼拜寺站,牛街站,宣武医院站,槐柏树街东口站,长椿街路口北站,新文化街西口站,民族文化宫站,复兴门内站,南礼士路站,三里河东路南口站,国家工商总局南站,国家工商总局站,月坛北街北站,阜外西口站,甘家口西站,白堆子口东站,马神庙站,航天桥东站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
10路,下行,航天桥东站,马神庙站,白堆子口东站,甘家口东站,阜外西口站,月坛北街北站,国家工商总局站,国家工商总局南站,三里河东路南口站,南礼士路站,复兴门内站,新文化街西口站,长椿街路口北站,槐柏树街东口站,宣武医院站,牛街站,牛街礼拜寺站,牛街南口站,南樱桃园路口北站,白纸坊路口西站,南菜园站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11路,上行,大北窑东站,八王坟南站,北京东站北站,九龙山站,珠江帝景站,大郊亭桥西站,大郊亭桥东站,东石门站,唐家村站,小海子站,四根旗杆站,方家村站,朝阳半壁店站,观音堂北站,观音堂站,古塔公园站,王四营站,王四营桥东站,孛罗营村北站,孛罗营站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
11路,下行,孛罗营站,孛罗营村北站,王四营桥南站,王四营站,古塔公园站,观音堂站,观音堂北站,朝阳半壁店站,方家村站,四根旗杆站,小海子站,唐家村站,东石门站,大郊亭桥西站,珠江帝景站,九龙山站,八王坟南站,八王坟西站,大北窑东站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12路,上行,五间楼站,横七条站,刘家窑桥东站,方庄南口站,芳星园站,八里河站,左安门外站,左安门内站,龙潭湖游泳池站,龙潭公园站,龙潭湖站,光明楼站,夕照寺站,夕照寺街北口站,广渠门内站,安化楼站,培新街站,南花市大街站,羊市口站,花市路口北站,崇文门东站,北花市大街站,小市口站,东花市大街站,白桥大街站,夕照寺街北口站,夕照寺站,光明楼站,龙潭湖站,龙潭公园站,龙潭湖游泳池站,左安门内站,左安门外站,八里河站,芳城园站,方庄南口站,刘家窑桥东站,横七条站,五间楼站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
12路,下行, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
13路,上行,小营公交场站,姜庄湖站,育慧东路站,世纪村站,育慧北里站,惠新东桥北站,惠新东桥南站,对外经贸大学站,中日医院站,和平东桥南站,和平里东街站,和平里路口南站,和平里南口站,北小街豁口站,雍和宫桥东站,雍和宫站,国子监站,北新桥路口北站,东四十二条站,张自忠路站,宽街路口东站,锣鼓巷站,地安门东站,北海北门站,东官房站,厂桥路口东站,平安里路口南站,大红罗厂西口站,西四路口西站,白塔寺站,阜成门内站,南礼士路北口站,月坛公园站,儿童医院路口西站,二七剧场路北口站,三里河东口站,西城三里河站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
13路,下行,西城三里河站,三里河东口站,二七剧场路北口站,儿童医院路口西站,月坛公园站,阜成门站,阜成门内站,白塔寺站,西四路口北站,大红罗厂西口站,平安里路口南站,厂桥路口西站,东官房站,北海北门站,地安门东站,锣鼓巷站,宽街路口东站,张自忠路站,东四十二条站,北新桥路口北站,国子监站,雍和宫站,雍和宫桥东站,北小街豁口(二环辅)站,和平里南口站,和平里路口北站,和平里东街站,和平东桥南站,和平东桥北站,中日医院站,对外经贸大学站,惠新东桥南站,惠新东桥北站,育慧北里站,世纪村站,育慧东路站,姜庄湖站,小营公交场站, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
