,1,2,2,3,4,5,6,7,8,9,10
0,20100702 龙潭公园站,北京游乐园站,,,,,,,,,
1,20121211 刘家窖桥站,刘家窖桥西站,,,,,,,,,
2,20151222 开阳桥东站,开阳桥西站,,,,,,,,,
3,20161012 金安桥东站,金安桥西站,,,,,,,,,
4,20161021 卧龙岗村站,卧龙岗站,,,,,,,,,
5,20170804 地铁霍营站难站,轮胎厂中路站,,,,,,,,,
6,20180802 月坛南街北站,国家工商总局站,,,,,,,,,
7,20180802 月坛南街南站,国家工商总局南站,,,,,,,,,
8,20181113 田园风光雅苑站,田园风光雅园站,,,,,,,,,
9,20181113 冠雅苑站,冠雅园站,,,,,,,,,
10,20181113 冠雅苑东站,冠雅园东站,,,,,,,,,
11,20181113 燕丹村北口站,燕丹乡政府站,,,,,,,,,
12,20181113 未来科学城北站,未来科技城北站,,,,,,,,,
13,20181113 未来科学城路北口站,未来科技城路北口站,,,,,,,,,
14,20181113 未来科学城东路桥北站,未来科技城东路桥北站,,,,,,,,,
15,20181113 未来科学城东路桥南站,未来科技城东路桥南站,,,,,,,,,
16,20181113 昌盛园北口站,昌平地税局站,,,,,,,,,
17,20181121 后北营站,通胡路口南站,,,,,,,,,
18,20181121 胡各庄新村西站,通州三中站,,,,,,,,,
19,20181121 荔景园南口站,荔景园小区站,,,,,,,,,
20,20181121 三元村南站,水仙西路路口东站,,,,,,,,,
21,20181121 东夏园路口东站,地铁东夏园站,,,,,,,,,
22,20181121 东夏园路口南站,地铁东夏园站,,,,,,,,,
23,20181121 东夏园路口北站,地铁东夏园站,,,,,,,,,
24,20181225 瀛海庄站,赢海路口北站,,,,,,,,,
25,20190111 怀柔府前街西口站,后横街西口站,,,,,,,,,
26,20190404 天荣大街南站,荣街南站,,,,,,,,,
27,20190404 天荣大街站,天荣街站,,,,,,,,,
28,20190404 永旺路站,天荣街北站,,,,,,,,,
29,20190404 天富大街站,天富大街东站,,,,,,,,,
30,20190404 天富大街北站,永大路站,,,,,,,,,
31,20190404 丰葆路东口站,世界公园公交场站,,,,,,,,,
32,20190614 木樨园站,木樨园桥北站,,,,,,,,,
33,20190621 利泽东街东口站,北小河西站,,,,,,,,,
34,20190621 天泽路站,莱太花卉站,,,,,,,,,
35,20190621 溪阳东路东口站,北小河站,,,,,,,,,
36,20190621 河荫西路站,河荫西路西口站,,,,,,,,,
37,20190723 南营北站,南营站,,,,,,,,,
38,20190826 顺义焦各庄村站,沙岭西站,,,,,,,,,
39,20190826 民族家园中路南口站,常营路口西站,,,,,,,,,
40,20190826 裕园路北口站,龙湾站,,,,,,,,,
41,20191014 天通苑北枢纽站,20191012 地铁天通苑北站南站,地铁天通苑北站,,,,,,,,
42,20191022 阳坊南站,白虎涧站,,,,,,,,,
43,20191112 惠景新苑小区站,万窑路北口东站,,,,,,,,,
44,20191112 红螺镇村站,红螺寺村站,,,,,,,,,
45,20191112 红螺镇村南站,红螺寺村南站,,,,,,,,,
46,20191119 石府路站,石俯路站,,,,,,,,,
47,20191119 石府路东站,石俯路东站,,,,,,,,,
48,20191119 石府路西站,石俯路西站,,,,,,,,,
49,20200926 鹿海园四里南门站,20191218 鹿海园四里站,泰河一街东口站,,,,,,,,
50,20191218 地铁荣昌东街站,开发区交通服务中心站,,,,,,,,,
51,20191223 丰台太平桥站,太平桥站,,,,,,,,,
52,20191223 甘露园中街南口站,青年路南口站,,,,,,,,,
53,20191223 丰贤路口南站,皇后店西站,,,,,,,,,
54,20191223 史各庄公交场站,史各庄站,,,,,,,,,
55,20191223 史各庄公交场站,史各庄村南站,,,,,,,,,
56,20191223 田村半壁店东站,祥龙公交公司站,,,,,,,,,
57,20191223 地铁巴沟站,巴沟村站,,,,,,,,,
58,20191224 九龙山路口西站,珠江帝景站,,,,,,,,,
59,20191224 九龙山路口东站,珠江帝景站,,,,,,,,,
60,20200521 云会寺路南口站,彰化路西口站,,,,,,,,,
61,20200620 大韩继公交场站,大韩继站,,,,,,,,,
62,20200620 怀杨路口站,怀杨路口北站,,,,,,,,,
